company,category,date,title,summary,source,url
Issuer A,Company News,2026-04-01,"Amex to launch new BOS, CLT lounges, expand DFW lounge - The Points Guy",,The Points Guy,https://news.google.com/rss/articles/CBMiiwFBVV95cUxPTHZWNmxZU0RVSXRQSVJXS2tZZ29ROFpiOGlBNEh4OHUybTBuaWFUQzBNZEQzNUlMRjloWVVkbEhKT2lTQzFEdDZZWFItVzltYnJLQ01oRXJ3TXZ0bmpLT0dRbGZUZjZRTHVSMnVydmhkbktyRm5vdGVzYnRkZndwaHVhcC1SWmNHNnkw?oc=5
Issuer A,Company News,2026-04-01,American Express just announced new lounge plans for 3 major U.S. airports. One concept truly stands out - Fast Company,,Fast Company,https://news.google.com/rss/articles/CBMikgFBVV95cUxOVGw5dzlIYnFrZ1FtNlRiZ2JpSUQ2UHdFeS1QVVh6dUpHUXBMNW1GcjZNS1ZOMDFzUHNweU1vZEtMRTA2WFMtYjZHSzlSM2RRTXU4MUVNWkxMTzZxX0VuaDhQaXd4X2xWVWFVNElLT09Lb0UyY2RjQzhpck5zUnJYOFhrbmFWYnRidVJseWdwdnRtdw?oc=5
Issuer A,Company News,2026-04-01,American Express to open a two-story lounge at Logan with a terrace and a view - The Boston Globe,,The Boston Globe,https://news.google.com/rss/articles/CBMiogFBVV95cUxNZDYwWEVvY3VSSUc5blpMTDdGOFVubjVtZl9ZNUN4RURINzJ3MllFX05qUEtkWVVHblZOMmdfMkNWbFRPM0RxUnJyTXJsdTZ5VzJTRHZZQXlzbkkweERpTGxFMHhXRjNlNV9QSVFvdnFDTzBqU1VUQkVpR2hpVHFhS1ZncEloSWpVeGFtTEpETkZLX0tzWk5wRlhNOXVvbXhsZFE?oc=5
Issuer A,Company News,2026-04-02,1 Unstoppable Dividend Stock to Buy and Hold for a Decade - The Motley Fool,,The Motley Fool,https://news.google.com/rss/articles/CBMimAFBVV95cUxOWDVidEU3R0Q5Um9naUZrenJLTnNva2FibFZHODJ3a3VUNmRNbDFLaC13ZmhHY3VLRkVQVjAySDVRNVBzcWRsTElaQlNaOTNuTzJza3N0TlhJNk0wSml2YVdpbEN2V1RzSVE1LXY5WTFUZHdiUDFYS3NaZEVhckFndWJUemZadVFXazQ5WUxRV2Z6OFhrMUNVNA?oc=5
Issuer A,Company News,2026-04-02,"American Express, Resy and Chef’s Table Announce Expansive Partnership to Transform Culinary Storytelling Into Real-World Dining Experiences - Yahoo Finance",,Yahoo Finance,https://news.google.com/rss/articles/CBMiowFBVV95cUxPS1hnZXgwVWF5UHptZXM5dE9oVGVXcndhb1Y4Wm9qVUFQTjhHQ1g3MktNUk5ST1plTGNTdUExajRJNnoyd1BzR1BMRi0tZ0c5TkZ4ZVJCdUdzci1CcjBJOURlVmxEdC1NTU5PQzl2cVZnMUl1NWZBU0huT25hSlZyWnhxNVcyZWRNLWJfYjR2ZWk4YklqZGFNQldoMlJiZzRIN2I0?oc=5
Issuer A,Company News,2026-04-02,Linux Foundation is Launching the x402 Foundation and Welcoming the Contribution of the x402 Protocol - Linux Foundation,,Linux Foundation,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOdHpHY3NpRC1wX1I4M1pIbkVwNFhGN0sweWNBMW82ckhWQjY2d1VVcDcxRjZic0pkZFpNNmdmcElYdXcwR1lkWldHNG5oT0pSanpwZ3dPQXhHaUd0RGR6bkZBX2plY0tCU3hwMFB1NHhadk4wVEY0b2lZLWEzWW42UThaYXlQZzkzajRRdVBueWtMejRCWThYR1BwQWt4OVdWQXdpbTZxbUt1U084WG0tVmdGWEFHbDV2T2p1ZVpkQzliVEhza1RIWGstRGdndVRsZFJDYk930gHmAUFVX3lxTE83VkJYZWQ3RnJWU2ViWFhhazd3ZThMV1h1SDJBbnZWRzd5WC1qSjMxVmZZajdSTEtiNmd1cnBtRzJmakw0VnJFTjNVdXpJbTZ1dHJsWjlGTC1PT0ZmU19HMXBCWmFPRjZOekVDVGNFVXZWcXgzM1hHdW9uWHpqUWZrS2FGX0tUWHB5dVc4SEpsUENvVjZIREtVWTFoN056cVluc2o2TTlRM2wtdWhaQ1poaWp0bnU5cW13QS02WjlKQW5INGFnQTBpWjVuYUdKbU9LVC1SSmdZRVM1OVQ1NXdZWG11Ukd3?oc=5
Issuer A,Company News,2026-04-03,How CEO Ed Bastian built Delta’s $8 billion per year partnership with American Express - Fortune,,Fortune,https://news.google.com/rss/articles/CBMixwFBVV95cUxNRDhOWlNCaUxMdHpkY1JsMk80emNUUkxCVWczbEcwOGtSQUt4VW9vTHBQZzhHZVRwX1M4b1BIem5SaXAwakdqMElXZGszYmRhZmM1eFRkN2RiSnN1VmtmWG1vaDh2WUNTbFByem5BMzg4Nmw2MDhjLThxYlVMdkZQbXRCOUVsb0xrb1prc0R0WUU4LXhJS1F2NFNCYUpuY1Nfa19BanhPcUVYOUlqTHpsaUxPTVJsT3RYc0x3WDJxNTd3djRnSmxB?oc=5
Issuer A,Company News,2026-04-03,American Express Opens New Centurion Lounge At Delhi Airport’s Terminal 1 - Outlook Traveller,,Outlook Traveller,https://news.google.com/rss/articles/CBMirwFBVV95cUxPVlU1MU00cDJZOWZEUnV4SUVCM1dxeWdPTHhPTWtIWFF4dm9fRWI1TmhqS25wWEowcG8yNzRnRjBGZVc2Z0NWR3JUZ04tOWRBbWVXRm1rZmVsUDAyY2cxb3Z0U2xrc2FMb3VWaUVFcnNUZVRhMXk0ZDJfOTNJYmFrcy05MkNvZVZ0LXYyT1NGSEl0QnQ2clVodFRaRXZRenJPMFBsUjNjSmxGVndCQkVR?oc=5
Issuer A,Company News,2026-04-04,American Express Stock Decline & 2025 Financial Performance Review | 2026 - News and Statistics - IndexBox,,IndexBox,https://news.google.com/rss/articles/CBMinAFBVV95cUxPUjE0RG5IYXZCLTBZcDVzVmpvcXUxOUg2eXN6eUp3TkszRXg2dTBLRHZad2xTVW5QQ1BEOEh0M0xFck8wcjVsMS1KbVRwblpJblpLVFV4bmlndjFRa0JQd0lWYVNFLVRTdE1oVjFzMHlPM1lhb1h3YTliTWhCTXM2Y0wtbXVqYjhhMTFBd1BmWlRZbWZ2dF9ZMDhJeng?oc=5
Issuer A,Company News,2026-04-06,American Express (AXP) Exceeds Market Returns: Some Facts to Consider - Yahoo Finance,,Yahoo Finance,https://news.google.com/rss/articles/CBMiogFBVV95cUxPUG1rQjhCMUdlNDBlWmNtYmQzaFFtVlVCU0dXdS1YUFRGbEpLdTE4X3dENDhXQkZmc2o4d2lOOTZyM1lETXpJQ0hDcXBHejdTM2s2NVFqMzQwLXRGdnhlNFFDM0V1Q3hLSTdoMm1MemFIMTFrVk44eDJSYkZSVDRYMVlfWTgtWG9adkFrZERScHNSdmJiYmoxa3J0TXdIUlpzcnc?oc=5
